TradeDate,DeliveryDate,StartTime,EndTime,MW
"2023-11-19","2023-11-18","2023-11-18T23:00:00","2023-11-18T23:30:00",4019.2
"2023-11-19","2023-11-18","2023-11-18T23:30:00","2023-11-19T00:00:00",3853.7
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00",3667
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00",3667
"2023-11-19","2023-11-19","2023-11-19T00:30:00","2023-11-19T01:00:00",3654.7
"2023-11-19","2023-11-19","2023-11-19T00:30:00","2023-11-19T01:00:00",3654.7
"2023-11-19","2023-11-19","2023-11-19T01:00:00","2023-11-19T01:30:00",3543.4
"2023-11-19","2023-11-19","2023-11-19T01:00:00","2023-11-19T01:30:00",3543.4
"2023-11-19","2023-11-19","2023-11-19T01:00:00","2023-11-19T01:30:00",3543.4
"2023-11-19","2023-11-19","2023-11-19T01:30:00","2023-11-19T02:00:00",3416.5
"2023-11-19","2023-11-19","2023-11-19T01:30:00","2023-11-19T02:00:00",3416.5
"2023-11-19","2023-11-19","2023-11-19T01:30:00","2023-11-19T02:00:00",3416.5
"2023-11-19","2023-11-19","2023-11-19T02:00:00","2023-11-19T02:30:00",3220.7
"2023-11-19","2023-11-19","2023-11-19T02:00:00","2023-11-19T02:30:00",3220.7
"2023-11-19","2023-11-19","2023-11-19T02:00:00","2023-11-19T02:30:00",3220.7
"2023-11-19","2023-11-19","2023-11-19T02:00:00","2023-11-19T02:30:00",3220.7
"2023-11-19","2023-11-19","2023-11-19T02:30:00","2023-11-19T03:00:00",3086.4
"2023-11-19","2023-11-19","2023-11-19T02:30:00","2023-11-19T03:00:00",3086.4
"2023-11-19","2023-11-19","2023-11-19T02:30:00","2023-11-19T03:00:00",3086.4
"2023-11-19","2023-11-19","2023-11-19T02:30:00","2023-11-19T03:00:00",3086.4
"2023-11-19","2023-11-19","2023-11-19T03:00:00","2023-11-19T03:30:00",2963.9
"2023-11-19","2023-11-19","2023-11-19T03:00:00","2023-11-19T03:30:00",2963.9
"2023-11-19","2023-11-19","2023-11-19T03:00:00","2023-11-19T03:30:00",2963.9
"2023-11-19","2023-11-19","2023-11-19T03:00:00","2023-11-19T03:30:00",2963.9
"2023-11-19","2023-11-19","2023-11-19T03:00:00","2023-11-19T03:30:00",2963.9
"2023-11-19","2023-11-19","2023-11-19T03:30:00","2023-11-19T04:00:00",2927.5
