EffTime,ParticipantName,ResourceName,DispatchInstructionMW,InstructionCode,InstrIssueTime,RampUpRate,RampDownRate
"2023-11-19T00:02:00","PT_400030","GU_400252",0,"MWOF","2023-11-19T00:00:31",0,0
"2023-11-19T00:02:00","PT_400030","GU_400252",0,"DESY","2023-11-19T00:00:31",0,0
"2023-11-19T00:05:00","PT_500021","GU_501500",12,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500025","GU_501430",4,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500021","GU_501670",17,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500086","GU_501360",4,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500028","GU_503850",4,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500025","GU_501210",6,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500039","GU_503900",29,"WIND","2023-11-19T00:07:00",0,0
"2023-11-19T00:05:00","PT_502534","GU_504030",13,"WIND","2023-11-19T00:06:00",0,0
"2023-11-19T00:05:00","PT_500028","GU_501680",4,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500021","GU_501710",7,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500028","GU_503780",4,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500021","GU_501520",6,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500021","GU_501160",35,"WIND","2023-11-19T00:06:00",0,0
"2023-11-19T00:05:00","PT_500028","GU_503840",6,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500028","GU_503830",10,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500028","GU_503920",19,"WIND","2023-11-19T00:06:00",0,0
"2023-11-19T00:05:00","PT_500025","GU_501190",8,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500024","GU_504090",0,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500021","GU_500740",8,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500028","GU_501750",9,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500028","GU_503810",4,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500025","GU_501040",5,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500086","GU_503940",7,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500025","GU_501440",8,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500028","GU_503860",7,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500025","GU_501050",6,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500028","GU_503800",7,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500021","GU_504160",5,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_502534","GU_504040",25,"WIND","2023-11-19T00:06:00",0,0
"2023-11-19T00:05:00","PT_500028","GU_503790",5,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500021","GU_501620",8,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500028","GU_501660",0,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500021","GU_501730",6,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500025","GU_501150",7,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500047","GU_500790",7,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500021","GU_501700",6,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500086","GU_501390",1,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500074","GU_501250",11,"WIND","2023-11-19T00:05:00",0,0
"2023-11-19T00:05:00","PT_500021","GU_501630",0,"WIND","2023-11-19T00:05:00",0,0
