StartTime,EndTime,ImbalanceVolume,ImbalancePrice,ImbalanceCost
"2023-11-20T14:00:00","2023-11-20T14:30:00",0.242,87.93,21.27906
"2023-11-20T14:30:00","2023-11-20T15:00:00",7.407,150.15,1112.16105
"2023-11-20T15:00:00","2023-11-20T15:30:00",6.872,170.36,1170.71392
"2023-11-20T15:30:00","2023-11-20T16:00:00",3.518,164.33,578.11294
"2023-11-20T16:00:00","2023-11-20T16:30:00",-9.993,44.79,-447.58647
"2023-11-20T16:30:00","2023-11-20T17:00:00",-3.631,69.13,-251.01103
"2023-11-20T17:00:00","2023-11-20T17:30:00",-4.505,56.01,-252.32505
"2023-11-20T17:30:00","2023-11-20T18:00:00",-9.331,54.4,-507.6064
"2023-11-20T18:00:00","2023-11-20T18:30:00",-11.756,40.22,-472.82632
"2023-11-20T18:30:00","2023-11-20T19:00:00",-10.275,44.53,-457.54575
"2023-11-20T19:00:00","2023-11-20T19:30:00",-10.294,37.38,-384.78972
"2023-11-20T19:30:00","2023-11-20T20:00:00",-1.357,89.65,-121.65505
"2023-11-20T20:00:00","2023-11-20T20:30:00",-1.181,125.49,-148.20369
"2023-11-20T20:30:00","2023-11-20T21:00:00",15.367,173.05,2659.25935
"2023-11-20T21:00:00","2023-11-20T21:30:00",33.825,160.92,5443.119
"2023-11-20T21:30:00","2023-11-20T22:00:00",26.947,158.81,4279.45307
"2023-11-20T22:00:00","2023-11-20T22:30:00",27.902,158.89,4433.34878
"2023-11-20T22:30:00","2023-11-20T23:00:00",20.177,146.34,2952.70218
"2023-11-20T23:00:00","2023-11-20T23:30:00",24.914,158.77,3955.59578
"2023-11-20T23:30:00","2023-11-21T00:00:00",9.154,162.37,1486.33498
"2023-11-21T00:00:00","2023-11-21T00:30:00",21.254,137.25,2917.1115
"2023-11-21T00:30:00","2023-11-21T01:00:00",19.898,158.88,3161.39424
"2023-11-21T01:00:00","2023-11-21T01:30:00",11.424,158.79,1814.01696
"2023-11-21T01:30:00","2023-11-21T02:00:00",10.114,161.42,1632.60188
"2023-11-21T02:00:00","2023-11-21T02:30:00",1.356,172.9,234.4524
"2023-11-21T02:30:00","2023-11-21T03:00:00",1.074,153.5,164.859
"2023-11-21T03:00:00","2023-11-21T03:30:00",-1.915,107.41,-205.69015
"2023-11-21T03:30:00","2023-11-21T04:00:00",6.916,161.64,1117.90224
"2023-11-21T04:00:00","2023-11-21T04:30:00",-0.387,112.8,-43.6536
"2023-11-21T04:30:00","2023-11-21T05:00:00",-10.921,71.64,-782.38044
"2023-11-21T05:00:00","2023-11-21T05:30:00",-2.646,129.18,-341.81028
"2023-11-21T05:30:00","2023-11-21T06:00:00",-22.602,110.06,-2487.57612
"2023-11-21T06:00:00","2023-11-21T06:30:00",-23.85,106.16,-2531.916
"2023-11-21T06:30:00","2023-11-21T07:00:00",-15.294,116.16,-1776.55104
"2023-11-21T07:00:00","2023-11-21T07:30:00",-27.41,115.64,-3169.6924
"2023-11-21T07:30:00","2023-11-21T08:00:00",-21.04,107.32,-2258.0128
"2023-11-21T08:00:00","2023-11-21T08:30:00",1.166,145.73,169.92118
"2023-11-21T08:30:00","2023-11-21T09:00:00",-1.234,115.62,-142.67508
"2023-11-21T09:00:00","2023-11-21T09:30:00",-9.686,117.44,-1137.52384
"2023-11-21T09:30:00","2023-11-21T10:00:00",-3.512,117.63,-413.11656
"2023-11-21T10:00:00","2023-11-21T10:30:00",-5.83,118.31,-689.7473
"2023-11-21T10:30:00","2023-11-21T11:00:00",-6.845,165.88,-1135.4486
"2023-11-21T12:00:00","2023-11-21T12:30:00",-7.099,118.66,-842.36734
"2023-11-21T12:30:00","2023-11-21T13:00:00",-5.08,117.42,-596.4936
"2023-11-21T13:00:00","2023-11-21T13:30:00",-3.508,117.66,-412.75128
"2023-11-21T13:30:00","2023-11-21T14:00:00",-4.531,117.48,-532.30188
"2023-11-21T14:00:00","2023-11-21T14:30:00",-4.939,116.13,-573.56607
"2023-11-21T14:30:00","2023-11-21T15:00:00",-5.245,115.91,-607.94795
"2023-11-21T15:00:00","2023-11-21T15:30:00",-3.526,116.19,-409.68594
"2023-11-21T15:30:00","2023-11-21T16:00:00",-5.474,113.32,-620.31368
"2023-11-21T16:00:00","2023-11-21T16:30:00",-16.541,103.96,-1719.60236
"2023-11-21T16:30:00","2023-11-21T17:00:00",-14.787,116.17,-1717.80579
"2023-11-21T17:00:00","2023-11-21T17:30:00",-6.762,97.98,-662.54076
"2023-11-21T17:30:00","2023-11-21T18:00:00",-15.238,110.89,-1689.74182
"2023-11-21T18:00:00","2023-11-21T18:30:00",-31.779,91.01,-2892.20679
"2023-11-21T18:30:00","2023-11-21T19:00:00",-39.838,92.5,-3685.015
"2023-11-21T19:00:00","2023-11-21T19:30:00",-30.141,85.83,-2587.00203
"2023-11-21T19:30:00","2023-11-21T20:00:00",-35.885,80.66,-2894.4841
"2023-11-21T20:00:00","2023-11-21T20:30:00",-43.549,85.4,-3719.0846
"2023-11-21T20:30:00","2023-11-21T21:00:00",-52.313,78.94,-4129.58822
"2023-11-21T21:00:00","2023-11-21T21:30:00",-66.267,49.98,-3312.02466
"2023-11-21T21:30:00","2023-11-21T22:00:00",-58.134,48.25,-2804.9655
"2023-11-21T22:00:00","2023-11-21T22:30:00",-40.78,52.16,-2127.0848
"2023-11-21T22:30:00","2023-11-21T23:00:00",-27.477,47.69,-1310.37813
"2023-11-21T23:00:00","2023-11-21T23:30:00",-0.853,126.58,-107.97274
"2023-11-21T23:30:00","2023-11-22T00:00:00",-14.926,40.93,-610.92118
"2023-11-22T00:00:00","2023-11-22T00:30:00",-29.451,20.6,-606.6906
"2023-11-22T00:30:00","2023-11-22T01:00:00",-40.36,15.79,-637.2844
"2023-11-22T01:00:00","2023-11-22T01:30:00",-27.615,18.17,-501.76455
"2023-11-22T01:30:00","2023-11-22T02:00:00",-35.057,26.91,-943.38387
