TradeDate,DeliveryDate,StartTime,EndTime,Forecast
2023-11-21,2023-11-21,2023-11-21T04:45:00,2023-11-21T05:00:00,1467.798
2023-11-21,2023-11-21,2023-11-21T05:00:00,2023-11-21T05:15:00,1384.087
2023-11-21,2023-11-21,2023-11-21T05:15:00,2023-11-21T05:30:00,1276.123
2023-11-21,2023-11-21,2023-11-21T05:30:00,2023-11-21T05:45:00,1168.179
2023-11-21,2023-11-21,2023-11-21T05:45:00,2023-11-21T06:00:00,1060.222
2023-11-21,2023-11-21,2023-11-21T06:00:00,2023-11-21T06:15:00,952.271
2023-11-21,2023-11-21,2023-11-21T06:15:00,2023-11-21T06:30:00,897.027
2023-11-21,2023-11-21,2023-11-21T06:30:00,2023-11-21T06:45:00,841.775
2023-11-21,2023-11-21,2023-11-21T06:45:00,2023-11-21T07:00:00,786.524
2023-11-21,2023-11-21,2023-11-21T07:00:00,2023-11-21T07:15:00,855.73
2023-11-21,2023-11-21,2023-11-21T07:15:00,2023-11-21T07:30:00,823.069
2023-11-21,2023-11-21,2023-11-21T07:30:00,2023-11-21T07:45:00,790.403
2023-11-21,2023-11-21,2023-11-21T07:45:00,2023-11-21T08:00:00,757.759
2023-11-21,2023-11-21,2023-11-21T08:00:00,2023-11-21T08:15:00,725.105
2023-11-21,2023-11-21,2023-11-21T08:15:00,2023-11-21T08:30:00,684.643
2023-11-21,2023-11-21,2023-11-21T08:30:00,2023-11-21T08:45:00,644.199
2023-11-21,2023-11-21,2023-11-21T08:45:00,2023-11-21T09:00:00,603.754
2023-11-21,2023-11-21,2023-11-21T09:00:00,2023-11-21T09:15:00,563.303
2023-11-21,2023-11-21,2023-11-21T09:15:00,2023-11-21T09:30:00,545.259
2023-11-21,2023-11-21,2023-11-21T09:30:00,2023-11-21T09:45:00,527.206
2023-11-21,2023-11-21,2023-11-21T09:45:00,2023-11-21T10:00:00,509.154
2023-11-21,2023-11-21,2023-11-21T10:00:00,2023-11-21T10:15:00,491.101
2023-11-21,2023-11-21,2023-11-21T10:15:00,2023-11-21T10:30:00,480.361
2023-11-21,2023-11-21,2023-11-21T10:30:00,2023-11-21T10:45:00,469.646
2023-11-21,2023-11-21,2023-11-21T10:45:00,2023-11-21T11:00:00,458.904
2023-11-21,2023-11-21,2023-11-21T11:00:00,2023-11-21T11:15:00,448.171
2023-11-21,2023-11-21,2023-11-21T11:15:00,2023-11-21T11:30:00,437.998
2023-11-21,2023-11-21,2023-11-21T11:30:00,2023-11-21T11:45:00,427.823
2023-11-21,2023-11-21,2023-11-21T11:45:00,2023-11-21T12:00:00,417.648
2023-11-21,2023-11-21,2023-11-21T12:00:00,2023-11-21T12:15:00,407.46
2023-11-21,2023-11-21,2023-11-21T12:15:00,2023-11-21T12:30:00,410.799
2023-11-21,2023-11-21,2023-11-21T12:30:00,2023-11-21T12:45:00,414.147
2023-11-21,2023-11-21,2023-11-21T12:45:00,2023-11-21T13:00:00,417.482
2023-11-21,2023-11-21,2023-11-21T13:00:00,2023-11-21T13:15:00,481.001
2023-11-21,2023-11-21,2023-11-21T13:15:00,2023-11-21T13:30:00,460.499
2023-11-21,2023-11-21,2023-11-21T13:30:00,2023-11-21T13:45:00,439.999
2023-11-21,2023-11-21,2023-11-21T13:45:00,2023-11-21T14:00:00,419.485
2023-11-21,2023-11-21,2023-11-21T14:00:00,2023-11-21T14:15:00,398.99
2023-11-21,2023-11-21,2023-11-21T14:15:00,2023-11-21T14:30:00,386.651
2023-11-21,2023-11-21,2023-11-21T14:30:00,2023-11-21T14:45:00,374.323
2023-11-21,2023-11-21,2023-11-21T14:45:00,2023-11-21T15:00:00,361.98
2023-11-21,2023-11-21,2023-11-21T15:00:00,2023-11-21T15:15:00,349.648
